Collocate,Rank,Freq(Scaled),FreqLR,FreqL,FreqR,Range,Likelihood,Effect
пандемия,1,3960,270,259,11,1,657.31,2.963
заражение,2,1040,84,78,6,1,229.754,3.208
распространение,3,2010,110,107,3,1,223.71,2.646
случай,4,1880,91,82,9,1,165.824,2.469
наличие,5,1110,67,66,1,1,147.62,2.788
инфекция,6,1000,62,6,56,1,139.54,2.826
эпидемия,7,800,55,52,3,1,133.995,2.975
тест,9,880,56,49,7,1,128.623,2.864
борьба,10,1950,81,71,10,1,127.035,2.248
связь,11,2960,98,88,10,1,118.959,1.921
отрицать,12,420,37,33,4,1,107.134,3.333
проникновение,14,290,30,30,0,1,96.098,3.565
страна,15,11170,207,101,106,1,94.406,1.084
профилактика,17,1290,52,48,4,1,78.957,2.205
отсутствие,18,600,36,34,2,1,78.871,2.779
мера,19,2930,79,65,14,1,72.4,1.625
заразить,20,490,31,31,0,1,70.831,2.855
противодействие,21,530,28,28,0,1,55.106,2.595
вакцинация,23,630,29,24,5,1,50.303,2.397
справка,24,530,26,23,3,1,47.875,2.488
геном,25,150,15,15,0,1,47.049,3.516
предотвращение,26,460,24,23,1,1,46.712,2.577
реагирование,29,610,26,24,2,1,41.795,2.286
вспышка,30,320,19,19,0,1,41.255,2.764
выявить,31,270,17,12,5,1,38.683,2.848
недопущение,32,130,12,12,0,1,35.792,3.4
изучение,33,340,18,17,1,1,35.48,2.598
территория,34,1170,34,17,17,1,34.674,1.733
ограничение,35,850,28,9,19,1,33.69,1.914
вакцина,36,1020,31,29,2,1,33.613,1.798
зафиксировать,37,250,15,9,6,1,32.844,2.779
связать,38,620,23,19,4,1,31.86,2.085
новый,39,2480,52,39,13,1,30.793,1.262
зарегистрировать,41,500,20,18,2,1,30.089,2.194
восстановление,42,240,14,12,2,1,29.958,2.738
волна,43,140,11,11,0,1,29.47,3.168
больных,45,250,14,14,0,1,28.956,2.679
симптом,46,220,13,11,2,1,28.113,2.757
тема,47,1350,34,32,2,1,27.964,1.527
мир,48,1650,38,15,23,1,26.853,1.397
нет,49,900,26,14,12,1,26.289,1.724
словно,50,80,8,8,0,1,25.089,3.516
нейтрализовать,50,80,8,6,2,1,25.089,3.516
обнаружить,52,440,17,9,8,1,24.633,2.144
распространяться,53,180,11,3,8,1,24.441,2.805
заразиться,53,180,11,9,2,1,24.441,2.805
прежний,55,600,20,14,6,1,24.413,1.931
переноситься,56,200,11,1,10,1,22.404,2.653
разрушать,58,70,7,7,0,1,21.952,3.516
штамм,59,170,10,10,0,1,21.543,2.75
ситуация,60,1950,39,28,11,1,20.934,1.194
вызвать,62,360,14,11,3,1,20.429,2.153
независимый,63,750,21,7,14,1,20.302,1.679
признавать,64,190,10,8,2,1,19.606,2.59
начало,65,840,22,14,8,1,19.242,1.583
сдать,66,290,12,11,1,1,18.704,2.243
